# 
{"kP":"0.01","kD":"0","kI":"0","density":"997","profile":["dive: 2, 0.4, 30.00, 40.00"]}

dive: 2, 0.4, 30.00, 40.00
EX20, 00:03:05, 0.00, -0.12
EX20, 00:03:05, 0.00, -0.12
EX20, 00:03:05, 0.00, -0.12
EX20, 00:03:05, 0.00, -0.12
EX20, 00:03:06, 0.00, -0.12

EX20, 00:03:06, 0.00, -0.12
EX20, 00:03:06, 0.00, -0.12
EX20, 00:03:06, 0.00, -0.12
EX20, 00:03:06, 0.00, -0.12
EX20, 00:03:06, 0.00, -0.12
EX20, 00:03:06, 0.00, -0.12
EX20, 00:03:07, 0.00, -0.12
EX20, 00:03:07, 0.00, -0.12
EX20, 00:03:07, 0.00, -0.12
EX20, 00:03:07, 0.00, -0.12
EX20, 00:03:07, 0.00, -0.12
EX20, 00:03:07, 0.00, -0.12
EX20, 00:03:07, 0.00, -0.12
EX20, 00:03:07, 0.00, -0.12
EX20, 00:03:08, 0.00, -0.12
EX20, 00:03:08, 0.00, -0.12
EX20, 00:03:08, 0.00, -0.12
EX20, 00:03:08, 0.00, -0.12
EX20, 00:03:08, 0.00, -0.12
EX20, 00:03:08, 0.00, -0.12
EX20, 00:03:08, 0.00, -0.12
EX20, 00:03:08, 0.00, -0.12
EX20, 00:03:09, 0.00, -0.12
EX20, 00:03:09, 0.00, -0.12
EX20, 00:03:09, 0.00, -0.12
EX20, 00:03:09, 0.00, -0.12
EX20, 00:03:09, 0.00, -0.12
EX20, 00:03:09, 0.00, -0.12
EX20, 00:03:09, 0.00, -0.12
EX20, 00:03:09, 0.00, -0.12
EX20, 00:03:10, 0.00, -0.12
EX20, 00:03:10, 0.00, -0.12
EX20, 00:03:10, 0.00, -0.12
EX20, 00:03:10, 0.00, -0.12
EX20, 00:03:10, 0.00, -0.12

EX20, 00:03:10, 0.00, -0.12
EX20, 00:03:10, 0.00, -0.12
EX20, 00:03:10, 0.00, -0.12
EX20, 00:03:11, 0.00, -0.12
EX20, 00:03:11, 0.00, -0.12
EX20, 00:03:11, 0.00, -0.12
EX20, 00:03:11, 0.00, -0.12
EX20, 00:03:11, 0.00, -0.12
EX20, 00:03:11, 0.00, -0.12
EX20, 00:03:11, 0.00, -0.12
EX20, 00:03:12, 0.00, -0.12
EX20, 00:03:12, 0.00, -0.12
EX20, 00:03:12, 0.00, -0.12
EX20, 00:03:12, 0.00, -0.12
EX20, 00:03:12, 0.00, -0.12
EX20, 00:03:12, 0.00, -0.12
EX20, 00:03:12, 0.00, -0.12
EX20, 00:03:12, 0.00, -0.12
EX20, 00:03:13, 0.00, -0.12
EX20, 00:03:13, 0.00, -0.12
EX20, 00:03:13, 0.00, -0.12
EX20, 00:03:13, 0.00, -0.12
EX20, 00:03:13, 0.00, -0.12
EX20, 00:03:13, 0.00, -0.12
EX20, 00:03:13, 0.00, -0.12
EX20, 00:03:13, 0.00, -0.12
EX20, 00:03:14, 0.00, -0.12
EX20, 00:03:14, 0.00, -0.12
EX20, 00:03:14, 0.00, -0.12
EX20, 00:03:14, 0.00, -0.12
EX20, 00:03:14, 0.00, -0.12
EX20, 00:03:14, 0.00, -0.12
EX20, 00:03:14, 0.00, -0.12
EX20, 00:03:14, 0.00, -0.12
EX20, 00:03:15, 0.00, -0.12

EX20, 00:03:15, 0.00, -0.12
EX20, 00:03:15, 0.00, -0.12
EX20, 00:03:15, 0.00, -0.12
EX20, 00:03:15, 0.00, -0.12
EX20, 00:03:15, 0.00, -0.12
EX20, 00:03:15, 0.00, -0.12
EX20, 00:03:15, 0.00, -0.12
EX20, 00:03:16, 0.00, -0.12
EX20, 00:03:16, 0.00, -0.12
EX20, 00:03:16, 0.00, -0.12
EX20, 00:03:16, 0.00, -0.12
EX20, 00:03:16, 0.00, -0.12
EX20, 00:03:16, 0.00, -0.12
EX20, 00:03:16, 0.00, -0.12
EX20, 00:03:16, 0.00, -0.12
EX20, 00:03:17, 0.00, -0.12
EX20, 00:03:17, 0.00, -0.12
EX20, 00:03:17, 0.00, -0.12
EX20, 00:03:17, 0.00, -0.12
EX20, 00:03:17, 0.00, -0.12
EX20, 00:03:17, 0.00, -0.12
EX20, 00:03:17, 0.00, -0.12
EX20, 00:03:17, 0.00, -0.12
EX20, 00:03:18, 0.00, -0.12
EX20, 00:03:18, 0.00, -0.12
EX20, 00:03:18, 0.00, -0.12
EX20, 00:03:18, 0.00, -0.12
EX20, 00:03:18, 0.00, -0.12
EX20, 00:03:18, 0.00, -0.12
EX20, 00:03:18, 0.00, -0.12
EX20, 00:03:18, 0.00, -0.12
EX20, 00:03:19, 0.00, -0.12
EX20, 00:03:19, 0.00, -0.12
EX20, 00:03:19, 0.00, -0.12
EX20, 00:03:19, 0.00, -0.12

EX20, 00:03:19, 0.00, -0.12
EX20, 00:03:19, 0.00, -0.12
EX20, 00:03:19, 0.00, -0.12
EX20, 00:03:19, 0.00, -0.12
EX20, 00:03:20, 0.00, -0.12
EX20, 00:03:20, 0.00, -0.12
EX20, 00:03:20, 0.00, -0.12
EX20, 00:03:20, 0.00, -0.12
EX20, 00:03:20, 0.00, -0.12
EX20, 00:03:20, 0.00, -0.12
EX20, 00:03:20, 0.00, -0.12
EX20, 00:03:21, 0.00, -0.12
EX20, 00:03:21, 0.00, -0.12
EX20, 00:03:21, 0.00, -0.12
EX20, 00:03:21, 0.00, -0.12
EX20, 00:03:21, 0.00, -0.12
EX20, 00:03:21, 0.00, -0.12
EX20, 00:03:21, 0.00, -0.12
EX20, 00:03:21, 0.00, -0.12
EX20, 00:03:22, 0.00, -0.12
EX20, 00:03:22, 0.00, -0.12
EX20, 00:03:22, 0.00, -0.12
EX20, 00:03:22, 0.00, -0.12
EX20, 00:03:22, 0.00, -0.12
EX20, 00:03:22, 0.00, -0.12
EX20, 00:03:22, 0.00, -0.12
EX20, 00:03:22, 0.00, -0.12
EX20, 00:03:23, 0.00, -0.12
EX20, 00:03:23, 0.00, -0.12
EX20, 00:03:23, 0.00, -0.12
EX20, 00:03:23, 0.00, -0.12
EX20, 00:03:23, 0.00, -0.12
EX20, 00:03:23, 0.00, -0.12
EX20, 00:03:23, 0.00, -0.12
EX20, 00:03:23, 0.00, -0.12

EX20, 00:03:24, 0.00, -0.12
EX20, 00:03:24, 0.00, -0.12
EX20, 00:03:24, 0.00, -0.12
EX20, 00:03:24, 0.00, -0.12
EX20, 00:03:24, 0.00, -0.12
EX20, 00:03:24, 0.00, -0.12
EX20, 00:03:24, 0.00, -0.12
EX20, 00:03:24, 0.00, -0.12
EX20, 00:03:25, 0.00, -0.12
EX20, 00:03:25, 0.00, -0.12
EX20, 00:03:25, 0.00, -0.12
EX20, 00:03:25, 0.00, -0.12
EX20, 00:03:25, 0.00, -0.12
EX20, 00:03:25, 0.00, -0.12
EX20, 00:03:25, 0.00, -0.12
EX20, 00:03:26, 0.00, -0.12
EX20, 00:03:26, 0.00, -0.12
EX20, 00:03:26, 0.00, -0.12
EX20, 00:03:26, 0.00, -0.12
EX20, 00:03:26, 0.00, -0.12
EX20, 00:03:26, 0.00, -0.12
EX20, 00:03:26, 0.00, -0.12
EX20, 00:03:26, 0.00, -0.12
EX20, 00:03:27, 0.00, -0.12
EX20, 00:03:27, 0.00, -0.12
EX20, 00:03:27, 0.00, -0.12
EX20, 00:03:27, 0.00, -0.12
EX20, 00:03:27, 0.00, -0.12
EX20, 00:03:27, 0.00, -0.12
EX20, 00:03:27, 0.00, -0.12
EX20, 00:03:27, 0.00, -0.12
EX20, 00:03:28, 0.00, -0.12
EX20, 00:03:28, 0.00, -0.12
EX20, 00:03:28, 0.00, -0.12
EX20, 00:03:28, 0.00, -0.12

EX20, 00:03:28, 0.00, -0.12
EX20, 00:03:28, 0.00, -0.12
EX20, 00:03:28, 0.00, -0.12
EX20, 00:03:28, 0.00, -0.12
EX20, 00:03:29, 0.00, -0.12
EX20, 00:03:29, 0.00, -0.12
EX20, 00:03:29, 0.00, -0.12
EX20, 00:03:29, 0.00, -0.12
EX20, 00:03:29, 0.00, -0.12
EX20, 00:03:29, 0.00, -0.12
EX20, 00:03:29, 0.00, -0.12
EX20, 00:03:29, 0.00, -0.12
EX20, 00:03:30, 0.00, -0.12
EX20, 00:03:30, 0.00, -0.12
EX20, 00:03:30, 0.00, -0.12
EX20, 00:03:30, 0.00, -0.12
EX20, 00:03:30, 0.00, -0.12
EX20, 00:03:30, 0.00, -0.12
EX20, 00:03:30, 0.00, -0.12
EX20, 00:03:31, 0.00, -0.12
EX20, 00:03:31, 0.00, -0.12
EX20, 00:03:31, 0.00, -0.12
EX20, 00:03:31, 0.00, -0.12
EX20, 00:03:31, 0.00, -0.12
EX20, 00:03:31, 0.00, -0.12
EX20, 00:03:31, 0.00, -0.12
EX20, 00:03:31, 0.00, -0.12
EX20, 00:03:32, 0.00, -0.12
EX20, 00:03:32, 0.00, -0.12
EX20, 00:03:32, 0.00, -0.12
EX20, 00:03:32, 0.00, -0.12
EX20, 00:03:32, 0.00, -0.12
EX20, 00:03:32, 0.00, -0.12
EX20, 00:03:32, 0.00, -0.12
EX20, 00:03:32, 0.00, -0.12

EX20, 00:03:33, 0.00, -0.12
EX20, 00:03:33, 0.00, -0.12
EX20, 00:03:33, 0.00, -0.12
EX20, 00:03:33, 0.00, -0.12
EX20, 00:03:33, 0.00, -0.12
EX20, 00:03:33, 0.00, -0.12
EX20, 00:03:33, 0.00, -0.12
EX20, 00:03:33, 0.00, -0.12
EX20, 00:03:34, 0.00, -0.12
EX20, 00:03:34, 0.00, -0.12
EX20, 00:03:34, 0.00, -0.12
EX20, 00:03:34, 0.00, -0.12
EX20, 00:03:34, 0.00, -0.12
EX20, 00:03:34, 0.00, -0.12
EX20, 00:03:34, 0.00, -0.12
EX20, 00:03:34, 0.00, -0.12
EX20, 00:03:35, 0.00, -0.12
EX20, 00:03:35, 0.00, -0.12
EX20, 00:03:35, 0.00, -0.12
EX20, 00:03:35, 0.00, -0.12
EX20, 00:03:35, 0.00, -0.12
EX20, 00:03:35, 0.00, -0.12
EX20, 00:03:35, 0.00, -0.12
EX20, 00:03:35, 0.00, -0.12
EX20, 00:03:36, 0.00, -0.12
EX20, 00:03:36, 0.00, -0.12
EX20, 00:03:36, 0.00, -0.12
EX20, 00:03:36, 0.00, -0.12
EX20, 00:03:36, 0.00, -0.12
EX20, 00:03:36, 0.00, -0.12
EX20, 00:03:36, 0.00, -0.12
EX20, 00:03:37, 0.00, -0.12
EX20, 00:03:37, 0.00, -0.12
EX20, 00:03:37, 0.00, -0.12


# profile complete
