EX20, 00:01:47, 0.00, -0.14
EX20, 00:01:47, 0.00, -0.14
EX20, 00:01:47, 0.00, -0.14
EX20, 00:01:47, 0.00, -0.14
EX20, 00:01:48, 0.00, -0.14
EX20, 00:01:48, 0.00, -0.14
EX20, 00:01:48, 0.00, -0.14
EX20, 00:01:48, 0.00, -0.14
EX20, 00:01:48, 0.00, -0.14
EX20, 00:01:48, 0.00, -0.14

EX20, 00:01:48, 0.00, -0.14
EX20, 00:01:49, 0.00, -0.14
EX20, 00:01:49, 0.00, -0.14
EX20, 00:01:49, 0.00, -0.14
EX20, 00:01:49, 0.00, -0.14
EX20, 00:01:49, 0.00, -0.14
EX20, 00:01:49, 0.00, -0.14
EX20, 00:01:49, 0.00, -0.14
EX20, 00:01:49, 0.00, -0.14
EX20, 00:01:50, 0.00, -0.14
EX20, 00:01:50, 0.00, -0.14
EX20, 00:01:50, 0.00, -0.14
EX20, 00:01:50, 0.00, -0.14
EX20, 00:01:50, 0.00, -0.14
EX20, 00:01:50, 0.00, -0.14
EX20, 00:01:50, 0.00, -0.14
EX20, 00:01:50, 0.00, -0.14
EX20, 00:01:51, 0.00, -0.14
EX20, 00:01:51, 0.00, -0.14
EX20, 00:01:51, 0.00, -0.14
EX20, 00:01:51, 0.00, -0.14
EX20, 00:01:51, 0.00, -0.14
EX20, 00:01:51, 0.00, -0.14
EX20, 00:01:51, 0.00, -0.14
EX20, 00:01:51, 0.00, -0.14
EX20, 00:01:52, 0.00, -0.14
EX20, 00:01:52, 0.00, -0.14
EX20, 00:01:52, 0.00, -0.14
EX20, 00:01:52, 0.00, -0.14
EX20, 00:01:52, 0.00, -0.14
EX20, 00:01:52, 0.00, -0.14
EX20, 00:01:52, 0.00, -0.14
EX20, 00:01:52, 0.00, -0.14
EX20, 00:01:53, 0.00, -0.14
EX20, 00:01:53, 0.00, -0.14

EX20, 00:01:53, 0.00, -0.14
EX20, 00:01:53, 0.00, -0.14
EX20, 00:01:53, 0.00, -0.14
EX20, 00:01:53, 0.00, -0.14
EX20, 00:01:53, 0.00, -0.14
EX20, 00:01:53, 0.00, -0.14
EX20, 00:01:54, 0.00, -0.14
EX20, 00:01:54, 0.00, -0.14
EX20, 00:01:54, 0.00, -0.14
EX20, 00:01:54, 0.00, -0.14
EX20, 00:01:54, 0.00, -0.14
EX20, 00:01:54, 0.00, -0.14
EX20, 00:01:54, 0.00, -0.14
EX20, 00:01:54, 0.00, -0.14
EX20, 00:01:55, 0.00, -0.14
EX20, 00:01:55, 0.00, -0.14
EX20, 00:01:55, 0.00, -0.14
EX20, 00:01:55, 0.00, -0.14
EX20, 00:01:55, 0.00, -0.14
EX20, 00:01:55, 0.00, -0.14
EX20, 00:01:55, 0.00, -0.14
EX20, 00:01:55, 0.00, -0.14
EX20, 00:01:56, 0.00, -0.14
EX20, 00:01:56, 0.00, -0.14
EX20, 00:01:56, 0.00, -0.14
EX20, 00:01:56, 0.00, -0.14
EX20, 00:01:56, 0.00, -0.14
EX20, 00:01:56, 0.00, -0.14
EX20, 00:01:56, 0.00, -0.14
EX20, 00:01:56, 0.00, -0.14
EX20, 00:01:57, 0.00, -0.14
EX20, 00:01:57, 0.00, -0.14
EX20, 00:01:57, 0.00, -0.14
EX20, 00:01:57, 0.00, -0.14
EX20, 00:01:57, 0.00, -0.14

EX20, 00:01:57, 0.00, -0.14
EX20, 00:01:57, 0.00, -0.14
EX20, 00:01:58, 0.00, -0.14
EX20, 00:01:58, 0.00, -0.14
EX20, 00:01:58, 0.00, -0.14
EX20, 00:01:58, 0.00, -0.14
EX20, 00:01:58, 0.00, -0.14
EX20, 00:01:58, 0.00, -0.14
EX20, 00:01:58, 0.00, -0.14
EX20, 00:01:58, 0.00, -0.14
EX20, 00:01:59, 0.00, -0.14
EX20, 00:01:59, 0.00, -0.14
EX20, 00:01:59, 0.00, -0.14
EX20, 00:01:59, 0.00, -0.14
EX20, 00:01:59, 0.00, -0.14
EX20, 00:01:59, 0.00, -0.14
EX20, 00:01:59, 0.00, -0.14
EX20, 00:01:59, 0.00, -0.14
EX20, 00:02:00, 0.00, -0.14
EX20, 00:02:00, 0.00, -0.14
EX20, 00:02:00, 0.00, -0.14
EX20, 00:02:00, 0.00, -0.14
EX20, 00:02:00, 0.00, -0.14
EX20, 00:02:00, 0.00, -0.14
EX20, 00:02:00, 0.00, -0.14
EX20, 00:02:00, 0.00, -0.14
EX20, 00:02:01, 0.00, -0.14
EX20, 00:02:01, 0.00, -0.14
EX20, 00:02:01, 0.00, -0.14
EX20, 00:02:01, 0.00, -0.14
EX20, 00:02:01, 0.00, -0.14
EX20, 00:02:01, 0.00, -0.14
EX20, 00:02:01, 0.00, -0.14
EX20, 00:02:01, 0.00, -0.14
EX20, 00:02:02, 0.00, -0.14

EX20, 00:02:02, 0.00, -0.14
EX20, 00:02:02, 0.00, -0.14
EX20, 00:02:02, 0.00, -0.14
EX20, 00:02:02, 0.00, -0.14
EX20, 00:02:02, 0.00, -0.14
EX20, 00:02:02, 0.00, -0.14
EX20, 00:02:02, 0.00, -0.14
EX20, 00:02:03, 0.00, -0.14
EX20, 00:02:03, 0.00, -0.14
EX20, 00:02:03, 0.00, -0.14
EX20, 00:02:03, 0.00, -0.14
EX20, 00:02:03, 0.00, -0.14
EX20, 00:02:03, 0.00, -0.14
EX20, 00:02:03, 0.00, -0.14
EX20, 00:02:03, 0.00, -0.14
EX20, 00:02:04, 0.00, -0.14
EX20, 00:02:04, 0.00, -0.14
EX20, 00:02:04, 0.00, -0.14
EX20, 00:02:04, 0.00, -0.14
EX20, 00:02:04, 0.00, -0.14
EX20, 00:02:04, 0.00, -0.14
EX20, 00:02:04, 0.00, -0.14
EX20, 00:02:04, 0.00, -0.14
EX20, 00:02:05, 0.00, -0.14
EX20, 00:02:05, 0.00, -0.14
EX20, 00:02:05, 0.00, -0.14
EX20, 00:02:05, 0.00, -0.14
EX20, 00:02:05, 0.00, -0.14
EX20, 00:02:05, 0.00, -0.14
EX20, 00:02:05, 0.00, -0.14
EX20, 00:02:05, 0.00, -0.14
EX20, 00:02:06, 0.00, -0.14
EX20, 00:02:06, 0.00, -0.14
EX20, 00:02:06, 0.00, -0.14
EX20, 00:02:06, 0.00, -0.14

EX20, 00:02:06, 0.00, -0.14
EX20, 00:02:06, 0.00, -0.14
EX20, 00:02:06, 0.00, -0.14
EX20, 00:02:07, 0.00, -0.14
EX20, 00:02:07, 0.00, -0.14
EX20, 00:02:07, 0.00, -0.14
EX20, 00:02:07, 0.00, -0.14
EX20, 00:02:07, 0.00, -0.14
EX20, 00:02:07, 0.00, -0.14
EX20, 00:02:07, 0.00, -0.14
EX20, 00:02:07, 0.00, -0.14
EX20, 00:02:08, 0.00, -0.14
EX20, 00:02:08, 0.00, -0.14
EX20, 00:02:08, 0.00, -0.14
EX20, 00:02:08, 0.00, -0.14
EX20, 00:02:08, 0.00, -0.14
EX20, 00:02:08, 0.00, -0.14
EX20, 00:02:08, 0.00, -0.14
EX20, 00:02:08, 0.00, -0.14
EX20, 00:02:09, 0.00, -0.14
EX20, 00:02:09, 0.00, -0.14
EX20, 00:02:09, 0.00, -0.14
EX20, 00:02:09, 0.00, -0.14
EX20, 00:02:09, 0.00, -0.14
EX20, 00:02:09, 0.00, -0.14
EX20, 00:02:09, 0.00, -0.14
EX20, 00:02:09, 0.00, -0.14
EX20, 00:02:10, 0.00, -0.14
EX20, 00:02:10, 0.00, -0.14
EX20, 00:02:10, 0.00, -0.14
EX20, 00:02:10, 0.00, -0.14
EX20, 00:02:10, 0.00, -0.14
EX20, 00:02:10, 0.00, -0.14
EX20, 00:02:10, 0.00, -0.14
EX20, 00:02:10, 0.00, -0.14

EX20, 00:02:11, 0.00, -0.14
EX20, 00:02:11, 0.00, -0.14
EX20, 00:02:11, 0.00, -0.14
EX20, 00:02:11, 0.00, -0.14
EX20, 00:02:11, 0.00, -0.14
EX20, 00:02:11, 0.00, -0.14
EX20, 00:02:11, 0.00, -0.14
EX20, 00:02:11, 0.00, -0.14
EX20, 00:02:12, 0.00, -0.14
EX20, 00:02:12, 0.00, -0.14
EX20, 00:02:12, 0.00, -0.14
EX20, 00:02:12, 0.00, -0.14
EX20, 00:02:12, 0.00, -0.14
EX20, 00:02:12, 0.00, -0.14
EX20, 00:02:12, 0.00, -0.14
EX20, 00:02:12, 0.00, -0.14
EX20, 00:02:13, 0.00, -0.14
EX20, 00:02:13, 0.00, -0.14
EX20, 00:02:13, 0.00, -0.14
EX20, 00:02:13, 0.00, -0.14
EX20, 00:02:13, 0.00, -0.14
EX20, 00:02:13, 0.00, -0.14
EX20, 00:02:13, 0.00, -0.14
EX20, 00:02:13, 0.00, -0.14
EX20, 00:02:14, 0.00, -0.14
EX20, 00:02:14, 0.00, -0.14
EX20, 00:02:14, 0.00, -0.14
EX20, 00:02:14, 0.00, -0.14
EX20, 00:02:14, 0.00, -0.14
EX20, 00:02:14, 0.00, -0.14
EX20, 00:02:14, 0.00, -0.14
EX20, 00:02:14, 0.00, -0.14
EX20, 00:02:15, 0.00, -0.14
EX20, 00:02:15, 0.00, -0.14
EX20, 00:02:15, 0.00, -0.14

EX20, 00:02:15, 0.00, -0.14
EX20, 00:02:15, 0.00, -0.14
EX20, 00:02:15, 0.00, -0.14
EX20, 00:02:15, 0.00, -0.14
EX20, 00:02:15, 0.00, -0.14
EX20, 00:02:16, 0.00, -0.14
EX20, 00:02:16, 0.00, -0.14
EX20, 00:02:16, 0.00, -0.14
EX20, 00:02:16, 0.00, -0.14
EX20, 00:02:16, 0.00, -0.14
EX20, 00:02:16, 0.00, -0.14
EX20, 00:02:16, 0.00, -0.14
EX20, 00:02:16, 0.00, -0.14
EX20, 00:02:17, 0.00, -0.14
EX20, 00:02:17, 0.00, -0.14
EX20, 00:02:17, 0.00, -0.14
EX20, 00:02:17, 0.00, -0.14
EX20, 00:02:17, 0.00, -0.14
EX20, 00:02:17, 0.00, -0.14
EX20, 00:02:17, 0.00, -0.14
EX20, 00:02:18, 0.00, -0.14
EX20, 00:02:18, 0.00, -0.14
EX20, 00:02:18, 0.00, -0.14
EX20, 00:02:18, 0.00, -0.14
EX20, 00:02:18, 0.00, -0.14
EX20, 00:02:18, 0.00, -0.14
EX20, 00:02:18, 0.00, -0.14
EX20, 00:02:18, 0.00, -0.14
EX20, 00:02:19, 0.00, -0.14
EX20, 00:02:19, 0.00, -0.14
EX20, 00:02:19, 0.00, -0.14
EX20, 00:02:19, 0.00, -0.14
EX20, 00:02:19, 0.00, -0.14
EX20, 00:02:19, 0.00, -0.14
EX20, 00:02:19, 0.00, -0.14

EX20, 00:02:19, 0.00, -0.14
EX20, 00:02:20, 0.00, -0.14
EX20, 00:02:20, 0.00, -0.14
EX20, 00:02:20, 0.00, -0.14
EX20, 00:02:20, 0.00, -0.14
EX20, 00:02:20, 0.00, -0.14
EX20, 00:02:20, 0.00, -0.14
EX20, 00:02:20, 0.00, -0.14
EX20, 00:02:20, 0.00, -0.14
EX20, 00:02:21, 0.00, -0.14
EX20, 00:02:21, 0.00, -0.14
EX20, 00:02:21, 0.00, -0.14
EX20, 00:02:21, 0.00, -0.14
EX20, 00:02:21, 0.00, -0.14
EX20, 00:02:21, 0.00, -0.14
EX20, 00:02:21, 0.00, -0.14
EX20, 00:02:21, 0.00, -0.14
EX20, 00:02:22, 0.00, -0.14
EX20, 00:02:22, 0.00, -0.14
EX20, 00:02:22, 0.00, -0.14
EX20, 00:02:22, 0.00, -0.14
EX20, 00:02:22, 0.00, -0.14
EX20, 00:02:22, 0.00, -0.14
EX20, 00:02:22, 0.00, -0.14
EX20, 00:02:22, 0.00, -0.14
EX20, 00:02:23, 0.00, -0.14
EX20, 00:02:23, 0.00, -0.14
EX20, 00:02:23, 0.00, -0.14
EX20, 00:02:23, 0.00, -0.14
EX20, 00:02:23, 0.00, -0.14
EX20, 00:02:23, 0.00, -0.14
EX20, 00:02:23, 0.00, -0.14
EX20, 00:02:23, 0.00, -0.14
EX20, 00:02:24, 0.00, -0.14
EX20, 00:02:24, 0.00, -0.14

EX20, 00:02:24, 0.00, -0.14
EX20, 00:02:24, 0.00, -0.14
EX20, 00:02:24, 0.00, -0.14
EX20, 00:02:24, 0.00, -0.14
EX20, 00:02:24, 0.00, -0.14
EX20, 00:02:24, 0.00, -0.14
EX20, 00:02:25, 0.00, -0.14
EX20, 00:02:25, 0.00, -0.14
EX20, 00:02:25, 0.00, -0.14
EX20, 00:02:25, 0.00, -0.14
EX20, 00:02:25, 0.00, -0.14
EX20, 00:02:25, 0.00, -0.14
EX20, 00:02:25, 0.00, -0.14
EX20, 00:02:25, 0.00, -0.14
EX20, 00:02:26, 0.00, -0.14
EX20, 00:02:26, 0.00, -0.14
EX20, 00:02:26, 0.00, -0.14
EX20, 00:02:26, 0.00, -0.14
EX20, 00:02:26, 0.00, -0.14
EX20, 00:02:26, 0.00, -0.14
EX20, 00:02:26, 0.00, -0.14
EX20, 00:02:27, 0.00, -0.14
EX20, 00:02:27, 0.00, -0.14
EX20, 00:02:27, 0.00, -0.14
EX20, 00:02:27, 0.00, -0.14
EX20, 00:02:27, 0.00, -0.14
EX20, 00:02:27, 0.00, -0.14
EX20, 00:02:27, 0.00, -0.14
EX20, 00:02:27, 0.00, -0.14
EX20, 00:02:28, 0.00, -0.14
EX20, 00:02:28, 0.00, -0.14
EX20, 00:02:28, 0.00, -0.14
EX20, 00:02:28, 0.00, -0.14
EX20, 00:02:28, 0.00, -0.14
EX20, 00:02:28, 0.00, -0.14

EX20, 00:02:28, 0.00, -0.14
EX20, 00:02:28, 0.00, -0.14
EX20, 00:02:29, 0.00, -0.14
EX20, 00:02:29, 0.00, -0.14
EX20, 00:02:29, 0.00, -0.14
EX20, 00:02:29, 0.00, -0.14
EX20, 00:02:29, 0.00, -0.14
EX20, 00:02:29, 0.00, -0.14
EX20, 00:02:29, 0.00, -0.14
EX20, 00:02:29, 0.00, -0.14
EX20, 00:02:30, 0.00, -0.14
EX20, 00:02:30, 0.00, -0.14
EX20, 00:02:30, 0.00, -0.14
EX20, 00:02:30, 0.00, -0.14
EX20, 00:02:30, 0.00, -0.14
EX20, 00:02:30, 0.00, -0.14
EX20, 00:02:30, 0.00, -0.14
EX20, 00:02:30, 0.00, -0.14
EX20, 00:02:31, 0.00, -0.14
EX20, 00:02:31, 0.00, -0.14
EX20, 00:02:31, 0.00, -0.14
EX20, 00:02:31, 0.00, -0.14
EX20, 00:02:31, 0.00, -0.14
EX20, 00:02:31, 0.00, -0.14
EX20, 00:02:31, 0.00, -0.14
EX20, 00:02:31, 0.00, -0.14
EX20, 00:02:32, 0.00, -0.14
EX20, 00:02:32, 0.00, -0.14
EX20, 00:02:32, 0.00, -0.14
EX20, 00:02:32, 0.00, -0.14
EX20, 00:02:32, 0.00, -0.14
EX20, 00:02:32, 0.00, -0.14
EX20, 00:02:32, 0.00, -0.14
EX20, 00:02:32, 0.00, -0.14
EX20, 00:02:33, 0.00, -0.14

EX20, 00:02:33, 0.00, -0.14
EX20, 00:02:33, 0.00, -0.14
EX20, 00:02:33, 0.00, -0.14
EX20, 00:02:33, 0.00, -0.14
EX20, 00:02:33, 0.00, -0.14
EX20, 00:02:33, 0.00, -0.14
EX20, 00:02:33, 0.00, -0.14
EX20, 00:02:34, 0.00, -0.14
EX20, 00:02:34, 0.00, -0.14
EX20, 00:02:34, 0.00, -0.14
EX20, 00:02:34, 0.00, -0.14
EX20, 00:02:34, 0.00, -0.14
EX20, 00:02:34, 0.00, -0.14
EX20, 00:02:34, 0.00, -0.14
EX20, 00:02:35, 0.00, -0.14
EX20, 00:02:35, 0.00, -0.14
EX20, 00:02:35, 0.00, -0.14
EX20, 00:02:35, 0.00, -0.14
EX20, 00:02:35, 0.00, -0.14
EX20, 00:02:35, 0.00, -0.14
EX20, 00:02:35, 0.00, -0.14
EX20, 00:02:35, 0.00, -0.14
EX20, 00:02:36, 0.00, -0.14
EX20, 00:02:36, 0.00, -0.14
EX20, 00:02:36, 0.00, -0.14
EX20, 00:02:36, 0.00, -0.14
EX20, 00:02:36, 0.00, -0.14
EX20, 00:02:36, 0.00, -0.14
EX20, 00:02:36, 0.00, -0.14
EX20, 00:02:36, 0.00, -0.14
EX20, 00:02:37, 0.00, -0.14
EX20, 00:02:37, 0.00, -0.14
EX20, 00:02:37, 0.00, -0.14
EX20, 00:02:37, 0.00, -0.14
EX20, 00:02:37, 0.00, -0.14

EX20, 00:02:37, 0.00, -0.14
EX20, 00:02:37, 0.00, -0.14
EX20, 00:02:37, 0.00, -0.14
EX20, 00:02:38, 0.00, -0.14
EX20, 00:02:38, 0.00, -0.14
EX20, 00:02:38, 0.00, -0.14
EX20, 00:02:38, 0.00, -0.14
EX20, 00:02:38, 0.00, -0.14
EX20, 00:02:38, 0.00, -0.14
EX20, 00:02:38, 0.00, -0.14
EX20, 00:02:38, 0.00, -0.14
EX20, 00:02:39, 0.00, -0.14
EX20, 00:02:39, 0.00, -0.14
EX20, 00:02:39, 0.00, -0.14
EX20, 00:02:39, 0.00, -0.14
EX20, 00:02:39, 0.00, -0.14
EX20, 00:02:39, 0.00, -0.14
EX20, 00:02:39, 0.00, -0.14
EX20, 00:02:39, 0.00, -0.14
EX20, 00:02:40, 0.00, -0.14
EX20, 00:02:40, 0.00, -0.14
EX20, 00:02:40, 0.00, -0.14
EX20, 00:02:40, 0.00, -0.14
EX20, 00:02:40, 0.00, -0.14
EX20, 00:02:40, 0.00, -0.14
EX20, 00:02:40, 0.00, -0.14
EX20, 00:02:40, 0.00, -0.14
EX20, 00:02:41, 0.00, -0.14
EX20, 00:02:41, 0.00, -0.14
EX20, 00:02:41, 0.00, -0.14
EX20, 00:02:41, 0.00, -0.14
EX20, 00:02:41, 0.00, -0.14
EX20, 00:02:41, 0.00, -0.14
EX20, 00:02:41, 0.00, -0.14
EX20, 00:02:41, 0.00, -0.14

EX20, 00:02:42, 0.00, -0.14
EX20, 00:02:42, 0.00, -0.14
EX20, 00:02:42, 0.00, -0.14
EX20, 00:02:42, 0.00, -0.14
EX20, 00:02:42, 0.00, -0.14
EX20, 00:02:42, 0.00, -0.14
EX20, 00:02:42, 0.00, -0.14
EX20, 00:02:42, 0.00, -0.14
EX20, 00:02:43, 0.00, -0.14
EX20, 00:02:43, 0.00, -0.14
EX20, 00:02:43, 0.00, -0.14
EX20, 00:02:43, 0.00, -0.14
EX20, 00:02:43, 0.00, -0.14
EX20, 00:02:43, 0.00, -0.14
EX20, 00:02:43, 0.00, -0.14
EX20, 00:02:44, 0.00, -0.14
EX20, 00:02:44, 0.00, -0.14
EX20, 00:02:44, 0.00, -0.14
EX20, 00:02:44, 0.00, -0.14
EX20, 00:02:44, 0.00, -0.14
EX20, 00:02:44, 0.00, -0.14
EX20, 00:02:44, 0.00, -0.14
EX20, 00:02:44, 0.00, -0.14
EX20, 00:02:45, 0.00, -0.14
EX20, 00:02:45, 0.00, -0.14
EX20, 00:02:45, 0.00, -0.14
EX20, 00:02:45, 0.00, -0.14
EX20, 00:02:45, 0.00, -0.14
EX20, 00:02:45, 0.00, -0.14
EX20, 00:02:45, 0.00, -0.14
EX20, 00:02:45, 0.00, -0.14
EX20, 00:02:46, 0.00, -0.14
EX20, 00:02:46, 0.00, -0.14
EX20, 00:02:46, 0.00, -0.14
EX20, 00:02:46, 0.00, -0.14

EX20, 00:02:46, 0.00, -0.14
EX20, 00:02:46, 0.00, -0.14
EX20, 00:02:46, 0.00, -0.14
EX20, 00:02:46, 0.00, -0.14
EX20, 00:02:47, 0.00, -0.14
EX20, 00:02:47, 0.00, -0.14
EX20, 00:02:47, 0.00, -0.14
EX20, 00:02:47, 0.00, -0.14
EX20, 00:02:47, 0.00, -0.14
EX20, 00:02:47, 0.00, -0.14
EX20, 00:02:47, 0.00, -0.14
EX20, 00:02:47, 0.00, -0.14
EX20, 00:02:48, 0.00, -0.14
EX20, 00:02:48, 0.00, -0.14
EX20, 00:02:48, 0.00, -0.14
EX20, 00:02:48, 0.00, -0.14
EX20, 00:02:48, 0.00, -0.14
EX20, 00:02:48, 0.00, -0.14
EX20, 00:02:48, 0.00, -0.14
EX20, 00:02:48, 0.00, -0.14
EX20, 00:02:49, 0.00, -0.14
EX20, 00:02:49, 0.00, -0.14
EX20, 00:02:49, 0.00, -0.14
EX20, 00:02:49, 0.00, -0.14
EX20, 00:02:49, 0.00, -0.14
EX20, 00:02:49, 0.00, -0.14
EX20, 00:02:49, 0.00, -0.14
EX20, 00:02:49, 0.00, -0.14
EX20, 00:02:50, 0.00, -0.14
EX20, 00:02:50, 0.00, -0.14
EX20, 00:02:50, 0.00, -0.14
EX20, 00:02:50, 0.00, -0.14
EX20, 00:02:50, 0.00, -0.14
EX20, 00:02:50, 0.00, -0.14
EX20, 00:02:50, 0.00, -0.14

EX20, 00:02:50, 0.00, -0.14
EX20, 00:02:51, 0.00, -0.14
EX20, 00:02:51, 0.00, -0.14
EX20, 00:02:51, 0.00, -0.14
EX20, 00:02:51, 0.00, -0.14
EX20, 00:02:51, 0.00, -0.14
EX20, 00:02:51, 0.00, -0.14
EX20, 00:02:51, 0.00, -0.14
EX20, 00:02:51, 0.00, -0.14
EX20, 00:02:52, 0.00, -0.14
EX20, 00:02:52, 0.00, -0.14
EX20, 00:02:52, 0.00, -0.14
EX20, 00:02:52, 0.00, -0.14
EX20, 00:02:52, 0.00, -0.14
EX20, 00:02:52, 0.00, -0.14
EX20, 00:02:52, 0.00, -0.14
EX20, 00:02:52, 0.00, -0.14
EX20, 00:02:53, 0.00, -0.14
EX20, 00:02:53, 0.00, -0.14
EX20, 00:02:53, 0.00, -0.14
EX20, 00:02:53, 0.00, -0.14
EX20, 00:02:53, 0.00, -0.14
EX20, 00:02:53, 0.00, -0.14
EX20, 00:02:53, 0.00, -0.14
EX20, 00:02:53, 0.00, -0.14
EX20, 00:02:54, 0.00, -0.14
EX20, 00:02:54, 0.00, -0.14
EX20, 00:02:54, 0.00, -0.14
EX20, 00:02:54, 0.00, -0.14
EX20, 00:02:54, 0.00, -0.14
EX20, 00:02:54, 0.00, -0.14
EX20, 00:02:54, 0.00, -0.14
EX20, 00:02:55, 0.00, -0.14
EX20, 00:02:55, 0.00, -0.14
EX20, 00:02:55, 0.00, -0.14

EX20, 00:02:55, 0.00, -0.14
EX20, 00:02:55, 0.00, -0.14
EX20, 00:02:55, 0.00, -0.14
EX20, 00:02:55, 0.00, -0.14
EX20, 00:02:55, 0.00, -0.14
EX20, 00:02:56, 0.00, -0.14
EX20, 00:02:56, 0.00, -0.14
EX20, 00:02:56, 0.00, -0.14
EX20, 00:02:56, 0.00, -0.14
EX20, 00:02:56, 0.00, -0.14
EX20, 00:02:56, 0.00, -0.14
EX20, 00:02:56, 0.00, -0.14
EX20, 00:02:56, 0.00, -0.14
EX20, 00:02:57, 0.00, -0.14
EX20, 00:02:57, 0.00, -0.14
EX20, 00:02:57, 0.00, -0.14
EX20, 00:02:57, 0.00, -0.14
EX20, 00:02:57, 0.00, -0.14
EX20, 00:02:57, 0.00, -0.14
EX20, 00:02:57, 0.00, -0.14
EX20, 00:02:57, 0.00, -0.14
EX20, 00:02:58, 0.00, -0.14
EX20, 00:02:58, 0.00, -0.14
EX20, 00:02:58, 0.00, -0.14
EX20, 00:02:58, 0.00, -0.14
EX20, 00:02:58, 0.00, -0.14
EX20, 00:02:58, 0.00, -0.14
EX20, 00:02:58, 0.00, -0.14
EX20, 00:02:58, 0.00, -0.14
EX20, 00:02:59, 0.00, -0.14
EX20, 00:02:59, 0.00, -0.14
EX20, 00:02:59, 0.00, -0.14
EX20, 00:02:59, 0.00, -0.14
EX20, 00:02:59, 0.00, -0.14
